vehicle_type,service_type,vehicle_age,kilometers_driven,fuel_type,engine_type,previous_services,actual_cost
SUV,Major,3,55760,Petrol,Automatic,5,24550
Bike,Major,5,45218,Petrol,Manual,9,3010
Car,Repair,8,114851,Diesel,Automatic,11,20060
Car,Repair,4,35620,Petrol,Manual,5,8540
Car,General,1,6807,Petrol,Automatic,1,3380
Scooty,Repair,11,78675,Petrol,Automatic,21,2910
Electric Scooter,General,2,13072,EV,Automatic,3,610
SUV,General,4,75269,Diesel,Automatic,7,8400
Car,General,6,97446,Petrol,Manual,9,5610
Car,General,11,109628,Petrol,Manual,18,5430
SUV,General,4,48012,Hybrid,Manual,7,8990
Car,Major,8,109665,Diesel,Manual,12,13080
Car,General,4,57875,Hybrid,Automatic,5,4970
SUV,General,5,101948,Petrol,Manual,7,7800
Scooty,General,4,26290,Petrol,Automatic,7,650
SUV,Repair,1,22795,Petrol,Automatic,1,18460
SUV,General,4,39763,Hybrid,Manual,5,9250
Bike,General,5,36557,Petrol,Manual,9,1000
Bike,Major,9,64757,Petrol,Manual,16,4000
SUV,General,3,39202,Diesel,Manual,4,8320
Scooty,General,6,34254,Petrol,Automatic,10,790
Scooty,Major,3,13141,Petrol,Automatic,5,1840
Car,Repair,2,22559,Petrol,Manual,2,9520
Electric Bike,General,2,12837,EV,Automatic,3,640
Car,General,8,93846,Diesel,Manual,11,7250
Car,General,7,108860,Diesel,Manual,11,5350
SUV,Major,2,35190,Hybrid,Automatic,2,19220
Car,Repair,12,103491,Hybrid,Automatic,15,27540
Bike,Major,7,51960,Petrol,Manual,8,2310
Electric Scooter,General,1,8312,EV,Automatic,1,490
Bike,General,9,65453,Petrol,Manual,17,1060
Bike,General,3,20014,Petrol,Automatic,4,720
SUV,Repair,5,92280,Diesel,Automatic,7,32090
Scooty,Major,12,80521,Petrol,Automatic,19,2420
SUV,Major,4,63501,EV,Automatic,6,14370
SUV,Repair,6,96693,Petrol,Automatic,10,19690
Scooty,Major,2,11264,Petrol,Automatic,2,1690
Car,Repair,2,16256,Petrol,Automatic,2,9620
Electric Bike,General,0,1439,EV,Automatic,0,640
Scooty,General,4,25151,Petrol,Automatic,5,490
Scooty,General,7,44109,Petrol,Automatic,12,800
SUV,Major,2,29469,Petrol,Automatic,2,21070
Car,Repair,1,15781,Diesel,Automatic,1,11180
Electric Scooter,General,2,13971,EV,Automatic,2,670
Bike,General,9,83828,Petrol,Manual,16,670
SUV,General,6,93305,Diesel,Automatic,10,12120
Car,General,7,57971,Petrol,Automatic,12,6060
Bike,Major,5,29459,Petrol,Manual,8,1860
Bike,General,8,79156,Petrol,Automatic,11,1000
Bike,General,9,52295,Petrol,Manual,12,1250
Car,General,5,47149,Petrol,Manual,6,4640
Car,Major,4,35011,Diesel,Manual,6,16810
SUV,Major,11,180398,Diesel,Manual,20,32440
Bike,General,13,95715,Petrol,Manual,19,1170
SUV,Major,5,96973,Diesel,Manual,8,27040
Car,Repair,8,84634,Diesel,Automatic,10,24340
Car,Major,4,51674,Petrol,Manual,6,12140
SUV,Major,11,119128,Petrol,Manual,15,18610
Car,Repair,7,94461,Petrol,Manual,8,15510
Scooty,Repair,3,23387,Petrol,Automatic,3,2160
Car,General,15,227390,Petrol,Automatic,22,6630
Electric Scooter,Repair,0,1969,EV,Automatic,0,1030
Car,General,3,39841,Hybrid,Automatic,5,6120
SUV,General,5,62413,Diesel,Automatic,9,10000
Electric Scooter,General,2,11306,EV,Automatic,2,800
Car,General,5,63845,Diesel,Automatic,8,5320
SUV,Repair,7,124304,Petrol,Manual,13,31500
Car,Major,6,64256,Petrol,Manual,9,13230
Scooty,General,3,15427,Petrol,Automatic,5,730
Car,General,10,117127,Petrol,Manual,13,5460
Bike,Major,3,14969,Petrol,Manual,4,1800
Car,General,3,30836,Diesel,Manual,4,5820
Car,Repair,5,56225,EV,Automatic,8,12960
SUV,Repair,5,101832,EV,Automatic,7,23830
Car,General,5,70963,Petrol,Manual,6,4250
Bike,General,3,31897,Petrol,Manual,4,780
Scooty,General,5,25089,Petrol,Automatic,6,820
Car,Major,14,136469,Diesel,Manual,18,15530
Electric Bike,General,1,9631,EV,Automatic,1,680
Electric Scooter,Major,3,18345,EV,Automatic,4,1310
SUV,Major,7,111832,EV,Automatic,9,21500
Scooty,General,12,83673,Petrol,Automatic,19,990
SUV,General,12,139968,Petrol,Automatic,21,9190
SUV,Major,9,161412,Petrol,Automatic,11,19400
Scooty,General,4,29180,Petrol,Automatic,6,720
Car,Major,6,59196,Petrol,Manual,8,10850
Electric Scooter,General,2,16513,EV,Automatic,3,640
Electric Scooter,Repair,4,32272,EV,Automatic,7,2280
SUV,Major,6,115254,Petrol,Manual,11,15100
SUV,General,1,13758,Petrol,Manual,1,5640
Car,Major,7,98491,Hybrid,Manual,9,17650
SUV,Repair,8,104226,EV,Automatic,10,24560
Scooty,General,0,500,Petrol,Automatic,0,550
Bike,Major,4,37952,Petrol,Manual,5,2990
Car,Major,5,81515,Petrol,Manual,9,14060
SUV,General,5,67914,Diesel,Automatic,6,8910
Car,Major,2,24376,Hybrid,Automatic,2,9630
Electric Scooter,General,2,15900,EV,Automatic,2,660
Car,Repair,12,179005,Diesel,Manual,16,33640
Scooty,Major,1,5496,Petrol,Automatic,1,1970
SUV,General,7,92235,Diesel,Manual,12,10300
Scooty,Major,6,25567,Petrol,Automatic,7,2020
SUV,Major,2,25965,Diesel,Automatic,3,18290
SUV,Major,3,57216,Diesel,Manual,5,21660
Bike,Repair,7,63385,Petrol,Manual,10,3840
Scooty,General,7,55230,Petrol,Automatic,13,530
Electric Scooter,General,1,7505,EV,Automatic,1,400
SUV,General,5,75182,Diesel,Manual,9,9530
Car,General,8,103933,Petrol,Automatic,10,4820
Bike,Major,7,65745,Petrol,Automatic,9,3080
Bike,General,6,34348,Petrol,Manual,11,760
Bike,General,8,71574,Petrol,Manual,12,860
Car,Major,9,121387,Diesel,Manual,15,16800
Car,General,12,99211,Diesel,Automatic,23,6210
Electric Scooter,Major,2,14699,EV,Automatic,2,1420
Scooty,General,3,18652,Petrol,Automatic,4,700
Car,Major,6,69749,Diesel,Automatic,7,13150
Bike,Major,9,46778,Petrol,Manual,13,3980
Scooty,General,2,15602,Petrol,Automatic,3,860
Car,General,3,34557,Petrol,Manual,4,3080
Car,Major,4,29991,Petrol,Manual,5,9810
SUV,General,2,45080,Petrol,Manual,3,5430
Bike,General,4,25546,Petrol,Manual,7,660
SUV,Major,10,173867,EV,Automatic,19,15980
Car,Major,7,64120,Petrol,Manual,10,13230
Electric Bike,General,1,9229,EV,Automatic,1,610
Scooty,General,3,17694,Petrol,Automatic,3,620
Car,Major,7,63487,Petrol,Manual,8,14000
Scooty,General,2,7711,Petrol,Automatic,2,660
Car,Repair,12,153393,Diesel,Automatic,23,37230
Bike,General,4,33150,Petrol,Manual,6,740
Car,Repair,4,56561,Hybrid,Automatic,5,16150
Bike,Major,4,26771,Petrol,Manual,5,2850
Car,Major,8,76708,Diesel,Manual,15,20110
Bike,General,3,16384,Petrol,Automatic,4,1100
Bike,Major,1,11395,Petrol,Automatic,1,2180
Car,Major,6,90853,Petrol,Manual,10,13800
Car,Major,4,64529,Petrol,Manual,7,13350
Car,General,9,86418,EV,Automatic,16,5650
Bike,Major,2,15142,Petrol,Manual,2,2220
Car,Major,11,116380,EV,Automatic,16,15540
Car,General,3,42503,Petrol,Automatic,5,4070
Electric Scooter,General,3,18148,EV,Automatic,4,570
Car,Repair,11,119320,Petrol,Automatic,18,23240
Bike,General,4,39370,Petrol,Manual,5,560
SUV,General,2,37729,Petrol,Automatic,3,8970
Bike,Major,6,43416,Petrol,Manual,8,2550
Car,General,12,166306,EV,Automatic,15,3960
SUV,General,5,69402,Diesel,Manual,9,7720
Scooty,Major,7,47153,Petrol,Automatic,12,1970
Electric Bike,Major,2,17047,EV,Automatic,3,1120
Car,General,9,98570,Petrol,Manual,17,4390
SUV,General,3,33153,Hybrid,Automatic,5,8630
Bike,General,9,67346,Petrol,Manual,14,1010
Electric Scooter,General,3,11529,EV,Automatic,5,710
SUV,Major,8,93089,Hybrid,Manual,14,18170
SUV,Repair,4,54543,Petrol,Automatic,5,26690
Car,General,6,69112,Petrol,Manual,11,5820
SUV,General,7,104334,Diesel,Automatic,9,10890
Car,Major,4,41345,Diesel,Manual,6,12580
Electric Bike,Major,1,6726,EV,Automatic,1,1270
Car,Repair,3,33787,Petrol,Automatic,3,14070
Car,General,8,100345,Petrol,Automatic,11,6490
Car,General,13,183646,Petrol,Automatic,19,6500
Bike,General,4,28121,Petrol,Manual,6,1270
Bike,General,5,33670,Petrol,Manual,8,920
SUV,Major,3,59255,Diesel,Manual,5,18780
Car,General,3,39546,Petrol,Manual,4,5560
Bike,General,1,7756,Petrol,Manual,1,760
Scooty,General,4,24233,Petrol,Automatic,6,610
SUV,General,11,214977,Diesel,Automatic,13,12370
SUV,Major,7,93821,Petrol,Automatic,9,18900
Car,General,4,56171,Diesel,Manual,5,6630
Car,Major,9,80763,Petrol,Manual,12,12760
Bike,Major,10,71681,Petrol,Automatic,17,2630
Car,General,4,59789,Petrol,Manual,5,4330
Electric Scooter,General,4,17979,EV,Automatic,5,460
SUV,General,7,75290,Petrol,Manual,10,7560
Car,General,6,65717,Petrol,Manual,10,3500
Car,General,13,202231,Petrol,Manual,25,6270
Car,Major,5,56103,Petrol,Manual,6,13530
Car,General,2,30910,Diesel,Manual,3,5810
Car,Major,8,117548,Diesel,Manual,13,20540
Electric Scooter,General,3,11696,EV,Automatic,4,510
SUV,General,6,115065,Diesel,Manual,9,6900
Car,General,5,64716,Diesel,Automatic,6,6110
SUV,Major,10,146768,Diesel,Automatic,13,29760
Car,General,3,39996,Petrol,Manual,5,4210
Scooty,Major,3,22476,Petrol,Automatic,5,2290
Car,Major,5,56345,Diesel,Manual,9,12070
SUV,General,9,91103,Petrol,Manual,10,8280
SUV,General,7,120874,Diesel,Automatic,11,8910
Car,General,10,118812,Hybrid,Automatic,14,7360
Car,Major,4,33991,Diesel,Manual,6,10410
Car,Repair,9,130214,Diesel,Manual,13,22060
Car,Major,7,61987,Diesel,Automatic,9,15180
Scooty,General,9,55332,Petrol,Automatic,17,510
Car,Repair,7,61093,Petrol,Automatic,10,14940
Car,Repair,6,52612,Petrol,Automatic,11,16360
SUV,General,6,123178,Diesel,Automatic,11,8350
Scooty,General,4,22096,Petrol,Automatic,6,670
Car,Repair,4,49638,Petrol,Automatic,7,11460
Bike,General,8,40448,Petrol,Manual,10,980
Car,General,10,91376,Diesel,Manual,15,7150
SUV,General,6,77149,Petrol,Manual,9,7730
Bike,General,3,27680,Petrol,Manual,5,780
Car,Repair,14,153210,Petrol,Automatic,18,23480
Car,General,2,21630,Diesel,Manual,3,4830
Car,General,8,109890,Petrol,Manual,12,4060
SUV,Major,3,49668,Diesel,Automatic,4,20370
Car,General,2,22144,Petrol,Manual,3,3480
Car,Major,13,179137,Petrol,Manual,21,14150
SUV,General,4,49716,Diesel,Manual,5,6380
Scooty,Major,3,22473,Petrol,Automatic,4,1480
Car,General,9,106701,Hybrid,Manual,13,5260
SUV,Major,5,61888,Diesel,Manual,7,23940
SUV,Repair,7,132864,Diesel,Automatic,10,31940
Car,General,8,100835,Diesel,Manual,10,7090
Car,General,9,142320,Petrol,Automatic,12,6180
SUV,General,4,56436,Petrol,Manual,5,6550
Car,General,5,63478,Petrol,Automatic,9,4970
SUV,Major,6,115182,Diesel,Automatic,8,22990
Electric Scooter,Major,2,10627,EV,Automatic,3,1280
Bike,General,1,7947,Petrol,Automatic,1,680
Bike,General,9,63788,Petrol,Manual,15,650
Car,General,9,90178,Diesel,Automatic,11,8040
Bike,General,4,26519,Petrol,Manual,7,1100
Car,General,7,113405,Petrol,Manual,11,4540
Bike,General,2,11140,Petrol,Manual,3,1060
Car,General,9,91532,EV,Automatic,16,3390
Scooty,General,2,11061,Petrol,Automatic,3,840
Car,Repair,2,25193,Petrol,Manual,3,9880
Car,Major,9,98249,Diesel,Automatic,11,14610
Bike,Major,6,60285,Petrol,Manual,7,3210
SUV,Major,13,217029,Diesel,Manual,17,41610
Car,General,6,73425,Diesel,Manual,7,5880
Scooty,General,0,500,Petrol,Automatic,0,680
Electric Bike,General,2,12729,EV,Automatic,3,670
SUV,General,7,80695,Diesel,Automatic,12,9330
SUV,Major,0,3191,Diesel,Manual,0,21710
Car,Major,3,33170,EV,Automatic,4,8670
Bike,General,3,16722,Petrol,Manual,5,1130
Car,General,11,114325,Diesel,Manual,15,5420
Car,General,1,11671,Petrol,Automatic,1,4710
Car,Major,7,70941,Petrol,Automatic,11,18110
Car,Major,7,106178,Petrol,Manual,11,10830
Car,General,3,40549,Diesel,Automatic,5,5620
SUV,Repair,9,148978,Diesel,Automatic,15,40940
SUV,Repair,3,57284,Diesel,Automatic,4,23630
Electric Scooter,General,4,28707,EV,Automatic,7,630
Electric Scooter,General,2,10913,EV,Automatic,3,410
SUV,Repair,4,53923,Diesel,Automatic,6,28420
Bike,General,12,97161,Petrol,Manual,15,1270
Car,General,10,156543,Petrol,Manual,17,5930
Bike,General,7,66276,Petrol,Automatic,10,930
SUV,General,11,153313,Petrol,Automatic,13,10450
Bike,General,6,55941,Petrol,Manual,11,650
SUV,General,2,33609,Diesel,Manual,3,7840
Bike,General,1,10257,Petrol,Manual,1,1080
SUV,General,8,121602,Diesel,Manual,11,8990
Bike,Major,5,42839,Petrol,Manual,7,1560
Car,Major,3,43580,Petrol,Automatic,5,15700
Electric Scooter,General,0,500,EV,Automatic,0,540
Electric Scooter,General,1,5445,EV,Automatic,1,470
Car,Major,14,207619,Petrol,Manual,21,14260
SUV,Repair,10,122218,Diesel,Automatic,19,40920
Car,General,5,51687,Petrol,Automatic,8,4530
Car,Major,4,48214,Petrol,Automatic,5,10860
Bike,General,7,38675,Petrol,Manual,10,860
SUV,General,4,82417,Petrol,Manual,7,8580
Electric Scooter,Repair,2,15587,EV,Automatic,3,1310
Scooty,General,9,57893,Petrol,Automatic,13,700
SUV,General,12,190521,Petrol,Automatic,22,11050
Car,General,9,120035,Petrol,Manual,11,5120
SUV,Major,4,81566,Diesel,Automatic,5,29530
Car,General,9,117910,Petrol,Automatic,16,6660
Car,Major,9,79092,Petrol,Automatic,15,19160
SUV,General,2,34889,Diesel,Manual,3,7240
Bike,General,8,80839,Petrol,Automatic,11,990
SUV,General,6,73968,Diesel,Automatic,9,9920
Scooty,General,9,49038,Petrol,Automatic,11,950
Scooty,General,5,24926,Petrol,Automatic,7,590
Bike,General,4,36522,Petrol,Manual,6,620
Electric Scooter,General,2,13324,EV,Automatic,3,520
Car,General,15,140390,Diesel,Automatic,22,7060
Bike,General,4,25045,Petrol,Manual,6,1230
SUV,General,5,95714,Diesel,Automatic,6,11880
Scooty,General,10,56655,Petrol,Automatic,16,770
Scooty,General,4,25527,Petrol,Automatic,6,640
Bike,General,4,36575,Petrol,Manual,7,1170
Car,Major,5,65126,Diesel,Automatic,8,15560
Scooty,Major,7,44204,Petrol,Automatic,11,2020
Car,General,7,112276,Petrol,Manual,13,5880
SUV,General,4,74156,Diesel,Automatic,4,7430
Car,Major,4,48461,Diesel,Automatic,5,19490
Car,Major,2,21568,EV,Automatic,3,9540
Scooty,General,10,56834,Petrol,Automatic,15,900
SUV,Major,6,99861,Diesel,Automatic,9,32130
Scooty,Major,5,39723,Petrol,Automatic,6,1430
SUV,Major,6,70654,Diesel,Manual,8,18890
Bike,General,3,19949,Petrol,Automatic,5,910
Car,General,5,51512,Diesel,Automatic,6,6800
Car,General,6,96288,Diesel,Manual,8,4550
Car,General,1,13595,Diesel,Automatic,1,7090
Car,Major,5,68789,Petrol,Manual,6,11380
SUV,General,10,107490,Diesel,Automatic,16,9790
Car,General,11,171418,Diesel,Automatic,19,5540
SUV,General,7,132575,Petrol,Automatic,13,6630
SUV,Repair,9,105754,Petrol,Manual,15,29080
Electric Bike,General,2,18712,EV,Automatic,2,690
Car,General,4,59823,Petrol,Automatic,5,5830
Electric Scooter,General,1,7333,EV,Automatic,1,660
Scooty,General,8,37933,Petrol,Automatic,13,730
Car,Repair,3,41610,Petrol,Manual,4,11800
Car,General,12,162918,Diesel,Automatic,21,7700
Bike,Repair,6,52474,Petrol,Manual,7,3750
Car,General,3,45880,Diesel,Manual,5,5400
Car,General,9,121155,Diesel,Manual,11,5000
Bike,General,3,23336,Petrol,Manual,3,740
Car,General,4,55023,Petrol,Automatic,6,4330
SUV,General,13,257475,Diesel,Manual,18,12660
SUV,Repair,3,32091,Diesel,Manual,4,20300
SUV,General,1,16453,Petrol,Manual,1,7230
SUV,Major,6,87599,Diesel,Automatic,8,28820
SUV,Major,3,55207,Diesel,Automatic,3,24270
Bike,Major,3,26413,Petrol,Manual,5,2170
Car,Repair,9,80241,Petrol,Manual,11,14930
Bike,Repair,7,51989,Petrol,Manual,12,2840
Electric Bike,General,0,500,EV,Automatic,0,650
Car,General,13,113646,EV,Automatic,16,5890
Electric Scooter,General,2,14444,EV,Automatic,3,620
Bike,General,8,53438,Petrol,Manual,11,780
Bike,General,5,38548,Petrol,Automatic,7,870
Bike,General,4,32217,Petrol,Manual,6,1200
SUV,General,6,98107,Petrol,Manual,9,8630
Bike,Repair,7,60751,Petrol,Automatic,10,2540
Bike,Repair,6,54053,Petrol,Manual,10,3150
Bike,General,4,21273,Petrol,Manual,6,1000
Scooty,General,7,30930,Petrol,Automatic,12,450
SUV,Repair,3,51158,Hybrid,Manual,5,25580
SUV,General,8,99677,Diesel,Automatic,13,9340
Car,General,3,30502,Petrol,Manual,4,3550
Car,General,6,52800,Petrol,Automatic,9,5670
Car,General,11,97148,Petrol,Manual,16,5380
Car,Major,4,58213,Diesel,Manual,5,14680
SUV,General,4,58311,Petrol,Manual,5,6830
SUV,Major,9,100157,Diesel,Manual,12,21990
Electric Bike,General,2,10911,EV,Automatic,3,600
Car,Repair,8,90624,Petrol,Automatic,11,16330
SUV,General,4,67205,EV,Automatic,5,4560
Scooty,Major,5,39375,Petrol,Automatic,8,2030
Scooty,General,5,19113,Petrol,Automatic,6,470
Bike,Major,2,19801,Petrol,Manual,3,1840
Bike,Repair,6,36214,Petrol,Manual,11,2940
Scooty,Major,10,62860,Petrol,Automatic,17,2600
SUV,General,4,43368,Diesel,Automatic,7,10040
Bike,General,10,100743,Petrol,Manual,15,1080
SUV,General,8,92109,Petrol,Manual,11,8970
Scooty,General,4,24349,Petrol,Automatic,4,480
Car,General,8,100123,Petrol,Automatic,9,5070
SUV,General,10,193543,Diesel,Automatic,13,8890
SUV,General,8,159251,Diesel,Automatic,14,12860
SUV,General,4,67434,Diesel,Manual,6,7280
